year,sig05,sig095,sig105,sig15,sig2,sig25,sig3,sig35,sig4,sig45,sig5
2061,10.6433287993798,9.8702513394254,7.43729696280993,4.77920371261055,4.02572137278286,3.34052450377361,2.73490860486256,2.21294948348788,1.77277143838695,1.40831994684623,1.11113062402628
2062,10.6224467610007,9.85045828463912,7.42222598877224,4.7686279179581,4.01585949592751,3.33144029366879,2.72666132045079,2.20557673800234,1.76628033928381,1.40268641127111,1.10630443232769
2063,10.6007318380342,9.82993497659872,7.40661988867319,4.75779575793534,4.0058756959381,3.32234409512335,2.7184847997838,2.19833122596037,1.75995003125923,1.39722891082352,1.10165600780202
2064,10.5781640708897,9.80865894386539,7.39046034365976,4.74668727205966,3.99574429993478,3.31320613783467,2.71034694630492,2.19118019656691,1.75374850846761,1.39191722948199,1.09715760943707
2065,10.5547225243855,9.78660718478227,7.37372876326573,4.73528309407637,3.98544097621076,3.30399857930422,2.70221799822452,2.18409346526005,1.747646408753,1.38672374945413,1.09278395982396
2066,10.5303853447411,9.763756185506,7.35640628745434,4.72356438266015,3.97494259716346,3.29469531272422,2.69407029611681,2.17704315610402,1.74161674480399,1.38162318292934,1.08851198670935
2067,10.5051298150323,9.74008193977427,7.33847379097017,4.71151275986086,3.96422711598731,3.28527179386957,2.68587807376759,2.17000347052341,1.73563466352807,1.37659233277245,1.08432059319803
2068,10.4789324096178,9.71555997060707,7.3199118900698,4.69911025682322,3.95327345608865,3.27570488538966,2.6776172701319,2.16295047976797,1.72967723066592,1.37160987892923,1.08019045325317
2069,10.4517688480227,9.69016535413985,7.30070095170592,4.68633926634848,3.94206141226841,3.26597271703901,2.66926536047322,2.15586193878199,1.72372323801551,1.3666561877191,1.07610382958382
2070,10.4236141487442,9.66387274578645,7.28082110524451,4.67318250190247,3.93057156279813,3.25605456051872,2.6608012049485,2.14871711940373,1.71775303094196,1.36171314153887,1.07204441138717
2071,10.3944426834216,9.63665640892919,7.26025225679864,4.65962296271022,3.9187851915909,3.24593071772285,2.65220491307537,2.14149666104327,1.71174835411637,1.35676398680292,1.06799716973666
2072,10.3642282317934,9.60849024633117,7.23897410626564,4.64564390461048,3.90668421973919,3.23558242129628,2.6434577226747,2.13418243718548,1.70569221366066,1.35179319820673,1.06394822868565
2073,10.332944037843,9.57934783446377,7.21696616715742,4.63122881637514,3.89425114575759,3.22499174651358,2.63454189202226,2.12675743624089,1.69956875408184,1.34678635762809,1.05988475039604
2074,10.3005628675139,9.54920246093852,7.19420778931458,4.61636140122731,3.88146899392895,3.21414153358172,2.62544060406921,2.11920565542292,1.69336314855851,1.34173004617742,1.05579483280783
2075,10.2670570683557,9.51802716522743,7.17067818459572,4.60102556331854,3.86832127020841,3.20301531955543,2.61613788170551,2.11151200646959,1.68706150130254,1.33661174808146,1.05166741854499
2076,10.2323986314402,9.4857947828501,7.14635645563247,4.58520539895003,3.85479192519063,3.19159727913109,2.60661851314231,2.10366223215085,1.6806507608579,1.33141976523488,1.04749221390783
2077,10.1965592558675,9.45247799319781,7.12122162773839,4.56888519234381,3.84086532369204,3.17987217365503,2.59686798658098,2.09564283261287,1.67411864332226,1.32614314138592,1.04325961693702
2078,10.1595104161574,9.418049371156,7.09525268405634,4.55204941578904,3.82652622054125,3.16782530774547,2.58687243341874,2.08744100070783,1.66745356458566,1.32077159503739,1.0389606536514
2079,10.1212234328015,9.38248144267473,7.06842860402355,4.53468273400515,3.81175974220887,3.1554424929841,2.57661857931438,2.0790445655452,1.66064458077715,1.31529546024616,1.03458692166467
2080,10.0816695462232,9.34574674442425,7.04072840522655,4.51677001257678,3.79655137393985,3.14271001818318,2.56609370250238,2.0704419435764,1.65368133619375,1.30970563459134,1.03013054047384
2081,10.0408199943728,9.30781788765696,7.01213118870929,4.49829633032701,3.78088695208184,3.12961462577995,2.55528559880292,2.0616220965941,1.64655401806219,1.3039935336611,1.02558410779191
2082,9.99864609414998,9.26866762637959,6.98261618778691,4.47924699550363,3.76475266132698,3.11614349394881,2.54418255282563,2.05257449608664,1.63925331754869,1.29815105147486,1.02094066136373
2083,9.95511932682455,9.22826892991954,6.95216282040482,4.45960756565919,3.74813503660658,3.10228422405709,2.53277331491105,2.04328909344181,1.63177039649043,1.29217052631824,1.0161936457647
2084,9.91021142758741,9.18659505994598,6.92075074506738,4.4393638711089,3.73102096939543,3.08802483311975,2.52104708339351,2.03375629554098,1.62409685937332,1.28604471152062,1.01133688373343
2085,9.86389447933571,9.14361965198149,6.88835992034356,4.41850204185122,3.71339771819687,3.07335375093392,2.50899349180277,2.02396694532456,1.61622473012465,1.27976675075074,1.00636455163471
2086,9.81614101075571,9.099316801411,6.85497066793704,4.39700853783431,3.6952529229905,3.05825982159627,2.49660260065291,2.01391230694675,1.60814643332909,1.27333015744648,1.00127115868973
